Time	x	y	z	rx	ry	rz
0.00	0.567912	-0.137345	0.028856	-179.983246	0.008652	85.832535
0.10	0.567915	-0.137347	0.028860	-179.983765	0.008743	85.832512
0.20	0.567917	-0.137347	0.028862	-179.984039	0.008788	85.832512
0.30	0.568083	-0.137368	0.035301	179.982040	0.011710	85.833061
0.40	0.568254	-0.137409	0.044817	179.946442	0.019180	85.834961
0.50	0.568372	-0.137420	0.057847	179.922165	0.022436	85.835007
0.60	0.568304	-0.137399	0.070147	179.934570	0.021133	85.837059
0.70	0.567752	-0.137421	0.080895	179.934494	0.020776	85.834091
0.80	0.564442	-0.137975	0.090369	179.951782	0.017890	85.821381
0.90	0.557485	-0.139040	0.098183	-179.995682	0.013804	85.817055
1.00	0.549020	-0.140395	0.105246	-179.996201	0.011347	85.850845
1.10	0.538613	-0.142148	0.114136	179.981613	0.015930	85.896301
1.20	0.525336	-0.144216	0.125071	-179.998688	0.012712	85.951019
1.30	0.513414	-0.146153	0.135217	179.986435	0.014747	86.006325
1.40	0.503993	-0.147861	0.143897	179.989502	0.015999	86.017799
1.50	0.497076	-0.149879	0.154836	179.940628	0.023788	86.016808
1.60	0.492784	-0.152243	0.168063	179.908936	0.030567	86.059151
1.70	0.489214	-0.154571	0.181571	179.903000	0.034792	86.136810
1.80	0.485329	-0.157049	0.195792	179.901947	0.034987	86.222336
1.90	0.482467	-0.158960	0.208392	179.887222	0.039664	86.254410
2.00	0.482455	-0.159419	0.221335	179.862579	0.043014	86.273499
2.10	0.483930	-0.158914	0.234089	179.866928	0.042177	86.330620
2.20	0.484954	-0.158414	0.243660	179.897720	0.032866	86.426323
2.30	0.485770	-0.157998	0.250446	179.911499	0.030861	86.492722
2.40	0.487521	-0.155700	0.255894	179.939636	0.023268	86.523262
2.50	0.490726	-0.151067	0.260112	179.925476	0.025608	86.582893
2.60	0.493987	-0.146284	0.263779	179.938477	0.021174	86.691780
2.70	0.496189	-0.141885	0.266600	179.973007	0.015202	86.755486
2.80	0.495658	-0.136669	0.267549	-179.977692	0.002643	86.761246
2.90	0.493132	-0.130499	0.266907	-179.972794	0.004473	86.807846
3.00	0.489944	-0.123238	0.266066	-179.949585	-0.000032	86.905457
3.10	0.485732	-0.112882	0.264938	-179.938171	-0.002656	86.997093
3.20	0.480770	-0.101959	0.263282	-179.927643	-0.003061	87.003220
3.30	0.475690	-0.092538	0.260894	-179.914474	-0.003439	87.027359
3.40	0.469699	-0.081963	0.257954	-179.902084	-0.002963	87.135094
3.50	0.462038	-0.068303	0.254182	-179.889679	-0.002208	87.254852
3.60	0.454896	-0.055603	0.250610	-179.893646	-0.000634	87.265022
3.70	0.447215	-0.042467	0.246665	-179.883469	0.004096	87.292152
3.80	0.440068	-0.030043	0.242912	-179.902771	0.008653	87.381226
3.90	0.433870	-0.019314	0.239640	-179.905884	0.009518	87.468781
4.00	0.427844	-0.008755	0.236248	-179.904312	0.012980	87.481377
4.10	0.422078	0.001879	0.232534	-179.909622	0.014578	87.503067
4.20	0.416811	0.011911	0.228979	-179.926727	0.014350	87.574883
4.30	0.412469	0.019908	0.226060	-179.927628	0.016479	87.645645
4.40	0.408542	0.027321	0.223336	-179.924576	0.018791	87.679031
4.50	0.404864	0.034844	0.220324	-179.927109	0.019590	87.682434
4.60	0.401406	0.042390	0.217074	-179.927246	0.020713	87.714386
4.70	0.397659	0.050621	0.213549	-179.928802	0.021165	87.807602
4.80	0.394571	0.057532	0.210525	-179.937576	0.021599	87.865181
4.90	0.392040	0.063434	0.207970	-179.949280	0.020620	87.891167
5.00	0.389778	0.069593	0.204901	-179.949585	0.021136	87.895157
5.10	0.387587	0.076076	0.201457	-179.939529	0.024963	87.981316
5.20	0.385316	0.082964	0.197796	-179.935272	0.027116	88.092216
5.30	0.382910	0.090841	0.193525	-179.935272	0.028123	88.121086
5.40	0.381538	0.098577	0.188601	-179.930649	0.030551	88.151649
5.50	0.380721	0.105056	0.184364	-179.946838	0.026564	88.272484
5.60	0.380203	0.110157	0.180845	-179.944412	0.028650	88.313004
5.70	0.380578	0.114537	0.177188	-179.935654	0.032905	88.329193
5.80	0.381255	0.118771	0.173609	-179.945572	0.029068	88.454430
5.90	0.381856	0.121666	0.171093	-179.953888	0.026804	88.510658
6.00	0.383156	0.124174	0.168432	-179.961456	0.024922	88.530228
6.10	0.384854	0.126726	0.165366	-179.952606	0.028646	88.671509
6.20	0.387022	0.129314	0.162121	-179.965881	0.022472	88.709084
6.30	0.389992	0.130849	0.159101	-179.969635	0.022504	88.759422
6.40	0.391894	0.131710	0.157280	-179.974106	0.021035	88.905518
6.50	0.393707	0.132202	0.155865	-179.980209	0.018809	88.927818
6.60	0.395944	0.132254	0.154401	-179.975769	0.020556	89.066498
6.70	0.399455	0.132244	0.152266	-179.981094	0.017213	89.127602
6.80	0.402466	0.131593	0.150948	-179.989380	0.014117	89.191101
6.90	0.404273	0.131157	0.150189	-179.991669	0.013960	89.335136
7.00	0.406527	0.130338	0.149452	-179.992172	0.013963	89.357643
7.10	0.408350	0.129524	0.148974	-179.992142	0.014332	89.509300
7.20	0.410579	0.128475	0.148458	-179.995468	0.012373	89.546951
7.30	0.412203	0.127502	0.148237	-179.991943	0.013718	89.668869
7.40	0.413556	0.126619	0.148159	-179.995728	0.012703	89.776611
7.50	0.414616	0.125344	0.148602	-179.995590	0.012410	89.799561
7.60	0.415953	0.123533	0.149437	179.993912	0.009118	89.925377
7.70	0.417137	0.121676	0.150035	-179.999481	0.011244	89.988731
7.80	0.417304	0.121273	0.147985	-179.971664	0.019826	89.996689
7.90	0.417112	0.121230	0.143572	-179.941208	0.029166	89.987617
8.00	0.416869	0.121203	0.135125	-179.898514	0.041267	89.991592
8.10	0.416620	0.121176	0.122652	-179.856659	0.053338	89.998283
8.20	0.416796	0.121278	0.097905	-179.896378	0.039433	89.994484
8.30	0.416863	0.121291	0.092043	-179.913696	0.036614	90.000854
8.40	0.417093	0.121367	0.089974	-179.955612	0.023047	89.998650
