                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6731,                 4.6659,                  1.423,                0.00437,                0.22917,                0.01133,                0.00301,                 1.2861,                  4.386,                 1.3358,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.5817,                 4.7334,                 1.4099,                0.00443,                0.27083,                0.01631,                0.00454,                 1.1836,                 4.3288,                 1.2339,               0.093693,             0.00069307,             0.00069307
                      2,                 1.1983,                 4.4645,                 1.1689,                0.00583,                0.41667,                0.03131,                0.00976,                 0.7349,                 4.1325,                0.93664,               0.090078,              0.0010782,              0.0010782
                      3,                 0.9925,                 4.2956,                 1.0303,                0.00653,                0.47917,                0.03989,                0.01791,                0.53714,                 4.1582,                0.85164,               0.086455,              0.0014555,              0.0014555
                      4,                0.75403,                 4.1891,                0.92751,                0.00644,                0.47917,                0.04185,                0.01555,                0.43613,                 4.1468,                0.82836,               0.082825,              0.0018248,              0.0018248
                      5,                0.74764,                 4.0524,                0.91133,                0.00754,                0.52083,                0.04625,                0.03508,                0.43326,                 3.9915,                  0.816,               0.079186,              0.0021861,              0.0021861
                      6,                0.64072,                 3.8979,                0.90131,                0.01315,                  0.875,                0.08555,                0.07283,                0.47859,                 3.7878,                0.80219,                0.07554,              0.0025396,              0.0025396
                      7,                0.63625,                 3.5085,                0.87893,                0.01229,                      1,                0.17709,                0.15144,                0.49553,                 3.6718,                  0.794,               0.071885,              0.0028852,              0.0028852
                      8,                0.70968,                 3.4318,                0.85545,                 0.0116,                      1,                0.23363,                0.19658,                0.53612,                 3.6481,                0.80502,               0.068223,              0.0032228,              0.0032228
                      9,                 0.6768,                 3.2843,                0.89384,                0.01077,                      1,                0.25702,                0.21491,                 0.5157,                 3.4854,                 0.8103,               0.064553,              0.0035525,              0.0035525
                     10,                0.63109,                  3.177,                0.89659,                 0.0105,                      1,                0.22954,                 0.1986,                0.52902,                 3.4116,                 0.8142,               0.060874,              0.0038743,              0.0038743
                     11,                0.73434,                 2.9296,                0.89608,                0.01042,                      1,                0.20052,                0.17356,                0.55857,                 3.3102,                 0.8091,               0.057188,              0.0041882,              0.0041882
                     12,                0.72645,                  2.845,                0.90262,                0.01042,                      1,                0.23023,                0.19462,                0.58951,                 3.2771,                0.81927,               0.053494,              0.0044941,              0.0044941
                     13,                 0.6924,                 2.5905,                0.86997,                0.01002,                0.95833,                0.22413,                 0.1952,                0.54796,                 3.1895,                0.80681,               0.049792,              0.0047922,              0.0047922
                     14,                0.68614,                   2.55,                0.89182,                0.01078,                      1,                0.28026,                0.25334,                0.48558,                 3.2091,                0.81763,               0.046082,              0.0050823,              0.0050823
                     15,                 0.6551,                 2.4675,                0.88709,                  0.011,                      1,                0.29147,                0.25809,                0.59266,                  3.256,                0.83373,               0.042364,              0.0053644,              0.0053644
                     16,                 0.6858,                 2.3174,                 0.9072,                0.01101,                      1,                 0.2959,                0.26333,                0.53482,                 3.0819,                0.83231,               0.038639,              0.0056387,              0.0056387
                     17,                0.65953,                 2.2425,                0.89828,                0.01115,                      1,                 0.3282,                0.28904,                0.49768,                 3.0431,                0.83824,               0.034905,              0.0059051,              0.0059051
                     18,                0.71025,                 2.3158,                0.93286,                 0.0114,                      1,                0.32656,                0.28461,                0.65147,                 3.0774,                  0.865,               0.031163,              0.0061635,              0.0061635
                     19,                 0.7196,                 2.1554,                0.92949,                0.22472,                0.57878,                0.31255,                0.26538,                0.52998,                  3.169,                0.86674,               0.027414,               0.006414,               0.006414
                     20,                0.72759,                 2.1331,                0.90257,                0.98541,                0.08333,                0.45158,                 0.3706,                0.66417,                 2.8135,                0.92644,               0.023657,              0.0066566,              0.0066566
                     21,                0.85111,                  2.129,                0.92296,                0.96934,                0.03735,                0.42823,                0.36802,                0.53256,                 2.7418,                0.90728,               0.019891,              0.0068913,              0.0068913
                     22,                0.75215,                 2.0967,                0.93444,                 0.9864,                0.08333,                0.40087,                0.34973,                0.57492,                 3.0175,                 0.8829,               0.016118,               0.007118,               0.007118
                     23,                  0.657,                 2.0984,                0.88054,                0.01249,                      1,                0.41966,                0.38085,                0.50393,                 2.9883,                0.83022,               0.012337,              0.0073369,              0.0073369
                     24,                0.66759,                  2.161,                0.87417,                 0.9164,                0.15281,                0.59871,                0.51004,                0.63537,                 2.5958,                0.86267,              0.0085478,              0.0075478,              0.0075478
                     25,                0.75981,                 2.0241,                0.88149,                0.95418,                0.16194,                0.55031,                0.48684,                0.54007,                 2.6851,                0.85059,               0.007525,               0.007525,               0.007525
                     26,                0.72198,                  1.986,                0.90226,                0.81657,                 0.1306,                0.56016,                0.49701,                0.51452,                 2.6051,                0.84406,               0.007525,               0.007525,               0.007525
                     27,                0.63716,                 1.8265,                0.89013,                0.71033,                0.32266,                 0.5986,                0.52322,                0.55474,                 2.3225,                0.85435,               0.007426,               0.007426,               0.007426
                     28,                0.78499,                  1.784,                0.90425,                0.70158,                0.48537,                 0.7179,                 0.6335,                0.50976,                  2.155,                0.86049,               0.007327,               0.007327,               0.007327
                     29,                0.58182,                  1.681,                0.88587,                 0.7357,                0.44737,                0.71182,                 0.6439,                0.51884,                 2.1006,                0.86145,               0.007228,               0.007228,               0.007228
                     30,                0.68863,                 1.6353,                0.86854,                0.76071,                 0.6358,                0.78259,                 0.6921,                0.57298,                 1.8973,                0.88779,               0.007129,               0.007129,               0.007129
                     31,                0.71075,                 1.5591,                0.89139,                0.72202,                0.69463,                0.77011,                0.68447,                0.51719,                   1.74,                0.87928,                0.00703,                0.00703,                0.00703
                     32,                0.62151,                 1.4165,                0.85797,                 0.7262,                0.66667,                0.77494,                0.64331,                0.59485,                 1.6956,                 0.8732,               0.006931,               0.006931,               0.006931
                     33,                0.63611,                 1.4557,                0.86728,                0.59555,                 0.7173,                0.81347,                0.71184,                0.52122,                 1.5305,                0.87455,               0.006832,               0.006832,               0.006832
                     34,                0.59639,                  1.373,                0.86624,                0.75229,                0.55865,                0.66353,                0.56543,                0.58968,                 1.9944,                0.89084,               0.006733,               0.006733,               0.006733
                     35,                0.63672,                 1.3721,                0.88398,                0.62998,                0.72917,                0.78772,                0.68745,                0.53822,                 1.6189,                0.87424,               0.006634,               0.006634,               0.006634
                     36,                 0.6427,                 1.2922,                0.87403,                0.77059,                0.65181,                0.77375,                0.64474,                0.60185,                 1.7247,                0.89546,               0.006535,               0.006535,               0.006535
                     37,                0.60146,                 1.2431,                0.86712,                0.78349,                0.68082,                0.81994,                0.72903,                0.54122,                 1.6817,                0.86615,               0.006436,               0.006436,               0.006436
                     38,                0.61223,                 1.1898,                0.86808,                 0.7571,                0.68445,                 0.7806,                0.66553,                 0.5922,                 1.4491,                  0.871,               0.006337,               0.006337,               0.006337
                     39,                0.59068,                 1.1953,                0.86817,                0.58999,                0.69827,                0.75168,                0.66827,                0.50502,                 1.4938,                0.86577,               0.006238,               0.006238,               0.006238
                     40,                 0.6699,                  1.234,                0.87468,                0.54668,                0.70465,                0.75856,                0.67523,                0.54935,                 1.5654,                0.89525,               0.006139,               0.006139,               0.006139
                     41,                0.59459,                 1.1606,                0.86277,                0.56697,                0.71439,                0.78133,                0.69142,                0.52895,                 1.4393,                0.86212,                0.00604,                0.00604,                0.00604
